,features,importance_vals
993,hsa.mir.6506,0.00546268794380012
1074,hsa.mir.767,0.005430050806317013
485,R-HSA-110312,0.005398278926440981
872,hsa.mir.4724,0.0053970048724295335
553,R-HSA-70221,0.005393037157882645
675,hsa.mir.202,0.005369967310980428
205,R-HSA-73779,0.005357055178901646
462,R-HSA-5675221,0.005320990313193761
225,R-HSA-202424,0.005319634948682506
859,hsa.mir.4658,0.005316496594105047
328,R-HSA-1971475,0.005306052096420899
1053,hsa.mir.6852,0.005260764774284325
36,R-HSA-5685938,0.005253453000295849
686,hsa.mir.2116,0.005249863211356569
785,hsa.mir.3682,0.005225061460423603
822,hsa.mir.4423,0.005212336112235789
362,R-HSA-72689,0.0052056985642411745
377,R-HSA-5654700,0.005203769289510092
407,R-HSA-977225,0.005195204506235313
379,R-HSA-5654228,0.005176287633294124
97,R-HSA-1257604,0.00516174803924514
461,R-HSA-997272,0.005155049573222641
676,hsa.mir.203b,0.0051493633651989515
148,R-HSA-5678895,0.0051249533778900515
246,R-HSA-975957,0.005124482824758161
439,R-HSA-450321,0.005107914521649945
250,R-HSA-977068,0.0050873981778568125
983,hsa.mir.627,0.005061325512506301
403,R-HSA-3247509,0.005052944069320802
1017,hsa.mir.6733,0.005042147204094362
107,R-HSA-3928664,0.005035158767859684
31,R-HSA-5578775,0.005017520735564176
432,R-HSA-166663,0.005017150587664218
999,hsa.mir.6511b.1,0.005016535353024665
438,R-HSA-2871796,0.00497723001470149
617,hsa.mir.1269a,0.004950706534436904
929,hsa.mir.542,0.004924876433210557
698,hsa.mir.27a,0.0048769027586604355
72,R-HSA-450513,0.004860544822586235
623,hsa.mir.1284,0.004835539462819724
749,hsa.mir.320b.2,0.004834031223726925
255,R-HSA-5357905,0.004772670046513668
464,R-HSA-180585,0.0047682909505965656
633,hsa.mir.130a,0.004757983043673448
74,R-HSA-212300,0.004754133357018873
34,R-HSA-1912420,0.004751844900019933
463,R-HSA-1236978,0.004743583153322106
810,hsa.mir.3934,0.0047257438173983245
966,hsa.mir.576,0.004723786412359914
191,R-HSA-167200,0.004715353742940351
735,hsa.mir.3174,0.004714686813822482
701,hsa.mir.299,0.004701602651075518
581,hsa.let.7d,0.00469502112504415
480,R-HSA-5625740,0.0046918551524868235
728,hsa.mir.3154,0.00468629612470977
664,hsa.mir.18b,0.004683335185079613
40,R-HSA-69473,0.0046804896071262194
291,R-HSA-174084,0.00466853448200709
141,R-HSA-1169091,0.004649991352289362
514,R-HSA-3000170,0.004645819369179662
185,R-HSA-167152,0.004642427277794923
690,hsa.mir.224,0.00463026668447128
570,R-HSA-140534,0.0046281228202860805
1043,hsa.mir.6808,0.004618772658022863
1007,hsa.mir.656,0.004596641069174439
868,hsa.mir.4690,0.004588303128257394
606,hsa.mir.1243,0.004587478847242892
775,hsa.mir.3653,0.004572072083647072
639,hsa.mir.1468,0.004553024574415758
800,hsa.mir.3910.2,0.0045482369931414725
95,R-HSA-114604,0.004540959297728477
169,R-HSA-5676590,0.004526072014814417
121,R-HSA-5610787,0.004515309824200813
283,R-HSA-389661,0.004513782726298814
957,hsa.mir.5694,0.004508814506407361
820,hsa.mir.4326,0.004500077662414697
23,R-HSA-917937,0.0044927158995415085
702,hsa.mir.29b.1,0.0044856605239328926
305,R-HSA-2559580,0.004477247078393702
647,hsa.mir.152,0.004467695734797416
253,R-HSA-2032785,0.004454894941300153
795,hsa.mir.376c,0.004439345130249421
871,hsa.mir.4709,0.004432264297865913
823,hsa.mir.4424,0.004418577442702371
380,R-HSA-5654704,0.004411594436860468
28,R-HSA-917977,0.004406540837480861
533,R-HSA-420092,0.0044016233536240176
722,hsa.mir.3136,0.004386891619069502
995,hsa.mir.6508,0.00437202083721786
752,hsa.mir.324,0.004359303593519144
891,hsa.mir.4775,0.004353344071423635
734,hsa.mir.3173,0.004345192394466722
468,R-HSA-450408,0.004333942188241053
358,R-HSA-1963642,0.004333508591807913
739,hsa.mir.3188,0.004330062490771525
1021,hsa.mir.6741,0.004329452879610471
277,R-HSA-70895,0.004304120680244523
619,hsa.mir.1270,0.004290395410356496
137,R-HSA-983231,0.004290353743126616
574,R-HSA-3322077,0.004262523235083791
918,hsa.mir.503,0.0042599261506984475
660,hsa.mir.185,0.004230331357575778
721,hsa.mir.3130.2,0.0042279384711218886
1095,hsa.mir.96,0.004221201631880831
402,R-HSA-3214842,0.004218070380447898
944,hsa.mir.550a.2,0.0041964243049187645
372,R-HSA-5654688,0.004183225213637343
1037,hsa.mir.6797,0.004162335356231779
309,R-HSA-1368108,0.0041353493091810375
331,R-HSA-3560801,0.004130963451607386
340,R-HSA-211935,0.00412954494888254
270,R-HSA-5663213,0.004129540352732874
355,R-HSA-1566948,0.004122398851395701
1076,hsa.mir.7706,0.004112732199282618
708,hsa.mir.3065,0.004111108065408189
1023,hsa.mir.6748,0.0041048406912887
969,hsa.mir.580,0.004087595514720306
549,R-HSA-354194,0.004086137909034733
576,R-HSA-5339716,0.0040753427432355235
784,hsa.mir.3680.2,0.004071183962200848
790,hsa.mir.374c,0.004050795442526578
373,R-HSA-5654689,0.004032979116400384
996,hsa.mir.6509,0.0040174675160551485
114,R-HSA-112043,0.004014529170817695
405,R-HSA-5625886,0.004014094015001319
452,R-HSA-162710,0.0039992659170093245
515,R-HSA-113510,0.0039546014523511985
224,R-HSA-195253,0.003951107583707199
232,R-HSA-5610780,0.003946469552683993
235,R-HSA-69231,0.0039442868676269425
346,R-HSA-5419276,0.0039440550660219745
989,hsa.mir.642a,0.003916752044315217
787,hsa.mir.369,0.0038699133446971246
341,R-HSA-211976,0.003863825228254427
591,hsa.mir.105.2,0.0038563475575210757
1033,hsa.mir.6783,0.003847030570395873
385,R-HSA-5654720,0.0038336456941760843
672,hsa.mir.196a.2,0.0038264070161494602
757,hsa.mir.337,0.003798531702395849
805,hsa.mir.3920,0.0037970190726628063
15,R-HSA-5173214,0.003782911568196141
715,hsa.mir.3117,0.003770517211742117
1010,hsa.mir.664a,0.003769004494915862
808,hsa.mir.3926.2,0.0037595944051281548
951,hsa.mir.559,0.0037573828948370648
104,R-HSA-389357,0.003754523926836555
296,R-HSA-176408,0.003743085062596947
719,hsa.mir.3129,0.0037430297734681517
19,R-HSA-382556,0.0037350943563797044
768,hsa.mir.3610,0.0037345641174943013
194,R-HSA-167243,0.003727893320537987
258,R-HSA-5669034,0.0037274690101730813
692,hsa.mir.2277,0.003710731519604451
863,hsa.mir.4665,0.003697809875375242
108,R-HSA-399954,0.003696076591440942
370,R-HSA-5654221,0.0036862460628435656
126,R-HSA-5674135,0.0036813649384566816
505,R-HSA-1839117,0.003675467781431507
703,hsa.mir.29b.2,0.003665480992085577
30,R-HSA-2022377,0.0036619441405309774
518,R-HSA-1538133,0.0036489229524158872
451,R-HSA-75876,0.003618981398831238
770,hsa.mir.3615,0.003594496427595004
300,R-HSA-2559582,0.0035550443665488276
140,R-HSA-6799198,0.0035532059692195616
894,hsa.mir.4782,0.0035414600453805177
961,hsa.mir.5699,0.003529182191068685
361,R-HSA-72649,0.003525819080932706
52,R-HSA-380108,0.0035119823105924297
602,hsa.mir.1228,0.003503559030123142
849,hsa.mir.4636,0.0035006135899857327
640,hsa.mir.146a,0.003484622026226134
526,R-HSA-5617833,0.0034759562117687892
779,hsa.mir.3662,0.0034625795832107543
209,R-HSA-77075,0.0034389183425810187
939,hsa.mir.548k,0.0034357611390441888
342,R-HSA-2162123,0.003427752360039449
528,R-HSA-5673000,0.0034193123021395875
615,hsa.mir.126,0.0034185827556575533
604,hsa.mir.1236,0.003411003118380904
529,R-HSA-446652,0.003408811903905189
347,R-HSA-430039,0.003400701955688419
911,hsa.mir.4999,0.00339533476078941
411,R-HSA-139853,0.0033896125222963747
524,R-HSA-389957,0.003387843939708546
8,R-HSA-438066,0.003371283426240552
447,R-HSA-180910,0.0033693709860017408
162,R-HSA-1655829,0.00336193318842561
977,hsa.mir.605,0.0033570751096704044
753,hsa.mir.326,0.0033555196708948644
971,hsa.mir.582,0.003346784539389773
159,R-HSA-5696394,0.0033327269167057237
765,hsa.mir.34a,0.0033243895381019684
907,hsa.mir.494,0.0033236454137659166
499,R-HSA-72764,0.0033036217968765414
851,hsa.mir.4639,0.003293362723197788
994,hsa.mir.6507,0.0032921334006823597
898,hsa.mir.4789,0.003289944543503225
520,R-HSA-5674400,0.0032876518705052147
769,hsa.mir.3614,0.003283292773339781
828,hsa.mir.4444.2,0.003281967951443221
1061,hsa.mir.6879,0.0032733642219682224
99,R-HSA-2219530,0.0032605079349013978
616,hsa.mir.1262,0.0032584724414664377
70,R-HSA-380994,0.0032327907453145598
798,hsa.mir.3909,0.003214270431035402
459,R-HSA-1296072,0.003213418249033566
110,R-HSA-4420097,0.003206295508571202
771,hsa.mir.3616,0.0031958060846227453
670,hsa.mir.195,0.003187282886992762
986,hsa.mir.636,0.0031795643931036466
697,hsa.mir.26a.2,0.0031628604969591834
732,hsa.mir.3158.2,0.0031615883092308648
809,hsa.mir.3928,0.00315797014060081
584,hsa.let.7g,0.0031563758196716664
709,hsa.mir.3074,0.003155853057396598
802,hsa.mir.3913.1,0.003136185346011189
783,hsa.mir.3680.1,0.0031206684466451406
489,R-HSA-5656121,0.0031105002891126787
16,R-HSA-389977,0.0030987993210874263
595,hsa.mir.10b,0.0030860683397622777
221,R-HSA-174113,0.0030790428206819345
1055,hsa.mir.6855,0.0030700884567340836
338,R-HSA-5620916,0.003064386447513243
127,R-HSA-1482788,0.003055712958012009
814,hsa.mir.411,0.003018217848984932
350,R-HSA-114508,0.0029914596095113664
812,hsa.mir.3944,0.002987364823493408
921,hsa.mir.509.1,0.0029718460377989686
401,R-HSA-2299718,0.002967360537859349
45,R-HSA-375170,0.002957758603297407
213,R-HSA-2132295,0.0029474063076486345
786,hsa.mir.3684,0.002943877518455338
856,hsa.mir.4649,0.002912037232563307
67,R-HSA-912631,0.0029091323254760936
758,hsa.mir.338,0.002902017906162655
609,hsa.mir.1249,0.002878299402727862
1075,hsa.mir.7705,0.002872947988314252
470,R-HSA-4641257,0.0028719507672212785
420,R-HSA-912694,0.002862582014186046
564,R-HSA-975577,0.0028572214453015474
990,hsa.mir.643,0.002850526767770134
548,R-HSA-354192,0.0028257734397629975
858,hsa.mir.4657,0.00282344518636819
603,hsa.mir.1229,0.0028219379033907897
563,R-HSA-156590,0.002820965485589113
1073,hsa.mir.765,0.0027881900824650073
959,hsa.mir.5696,0.0027783483378152596
596,hsa.mir.1180,0.0027655753729595744
726,hsa.mir.3150b,0.0027572449334547855
440,R-HSA-3295583,0.002748825902599492
345,R-HSA-5389840,0.002747998316772282
112,R-HSA-75892,0.002740746811068675
869,hsa.mir.4691,0.0027398631451069377
167,R-HSA-392517,0.0027296702668536455
840,hsa.mir.450a.1,0.002723225126246689
1016,hsa.mir.6731,0.0027192465425468983
1025,hsa.mir.676,0.0027030918332820873
694,hsa.mir.23b,0.002699722254583321
100,R-HSA-2424491,0.002696743774722563
861,hsa.mir.4661,0.0026952392461680576
181,R-HSA-76066,0.0026948230879315816
527,R-HSA-111447,0.0026918330124317434
324,R-HSA-2500257,0.0026826440505101344
264,R-HSA-1660516,0.002682034363024286
1082,hsa.mir.887,0.0026814333362995056
683,hsa.mir.2110,0.0026748129439238253
638,hsa.mir.145,0.002671480348799378
776,hsa.mir.3655,0.0026598625793121753
207,R-HSA-75955,0.0026531237896415404
978,hsa.mir.6125,0.0026338032991770886
799,hsa.mir.3910.1,0.002632235975470394
375,R-HSA-5654695,0.0026247220849109
241,R-HSA-1181150,0.0026227465601550647
454,R-HSA-512988,0.00261856629185786
746,hsa.mir.32,0.0026082520294949062
826,hsa.mir.4443,0.0026056329700077183
1072,hsa.mir.760,0.0026032328919973224
